"scenario","status","expected_outcome","executor_exit_code","rollback_succeeded","mirror_aggregate_after","formal_aggregate_before","formal_aggregate_after","journal_rows","csv_commit_complete","csv_rollback_complete","payload_commit_complete","payload_rollback_complete","endpoint_files_seeded","summary_sha256","journal_sha256","outcome_sha256","formal_writes_performed"
"positive","passed","PASS","0","false","5f62191bfc737535802cd6e0524b1fdf7a742ca36300db11b5a9233d4540052a","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","72","20","0","15","0","69","43ad97944fe2682c277bd00be2668a9773100b1fbcec4bef9037c7f146da0940","441bb66f0c5b645bbc08afa1b35154af9fd3b7d7d3de68c7acb23ed7c99a97a8","016f5cde074e16ebc82b6ed56d7f26030426fd5156b2f95f5fd0d528c6bcd509","0"
"rollback_after_3_tables","passed","FAIL_ROLLED_BACK","1","true","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","14","3","3","0","0","69","ae306d65d3982e4b097238ff041e31afde152140c6e52ebb7574a08669811d7d","17ba33ce8ceebd3cb008c8845a6df0d49a3d204edda3f8e9b174254faed17fe9","cc0e54a8c5421c307081ad00b4ac842dc0f31e2ae4e0766428a19bbdfedf0783","0"
"rollback_after_2_payloads","passed","FAIL_ROLLED_BACK","1","true","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","90","20","20","2","2","69","de02d3d8e7633122eb95f797d1fc2b7af1799b07db792e3a752244fb0fd5772a","905a30d8d791ade8c558335558c7124696bf495fd141e020cc848e79d95ccb83","34433740fe3214620c7a04f930d89a0d52395121e3490620b253e7fea7638c23","0"
