"sequence","timestamp_utc","phase","kind","relative_path","observed_sha256","details"
"26","2026-08-13T07:39:34.6341715Z","commit_begin","csv_replace","最小参考资料库/selection-runs.csv","4397260840ab286e7d4274f963eb037eb70a2dfd951ac55d43fdd35aa85e7ee0","registered_before_move;candidate=6bbd0536aa98bc01b4c1070246f4d47af259bdea30c1b9b5fd91b46536ffdfcb"
"27","2026-08-13T07:39:34.6499066Z","commit_complete","csv_replace","最小参考资料库/selection-runs.csv","6bbd0536aa98bc01b4c1070246f4d47af259bdea30c1b9b5fd91b46536ffdfcb","commit_index=13"
"28","2026-08-13T07:39:34.6600491Z","commit_begin","csv_replace","最小参考资料库/source-coverage.csv","88bf789e45a70271bab97a4f1d69034e675418bf340c82d01751d50f07e8ba21","registered_before_move;candidate=8095d6f326f2c9ecc7c6a15466e9d25b0358fa3efa78247a1eb7567dd8ac46b1"
"29","2026-08-13T07:39:34.6871526Z","commit_complete","csv_replace","最小参考资料库/source-coverage.csv","8095d6f326f2c9ecc7c6a15466e9d25b0358fa3efa78247a1eb7567dd8ac46b1","commit_index=14"
"30","2026-08-13T07:39:34.6925238Z","commit_begin","csv_replace","最小参考资料库/source-endpoints.csv","644a9dc2249c717c7e16121d5164184bd5dd9804b9be4983019bb1ad48bc9f6f","registered_before_move;candidate=41b649261b6b2b6edf599942c3c0a425ec3d34c0dd0d72f199d97a576b53f579"
"31","2026-08-13T07:39:34.7236874Z","commit_complete","csv_replace","最小参考资料库/source-endpoints.csv","41b649261b6b2b6edf599942c3c0a425ec3d34c0dd0d72f199d97a576b53f579","commit_index=15"
"32","2026-08-13T07:39:34.7284836Z","commit_begin","csv_replace","最小参考资料库/source-families.csv","358869eac543ca7769129a0525834a366fb3abb5c3fba858b556bb414ed0b061","registered_before_move;candidate=4887c37c52a9069a4f8e698d674c293f1791843dbc56bb80e05029c7f76ab9de"
"33","2026-08-13T07:39:34.7635648Z","commit_complete","csv_replace","最小参考资料库/source-families.csv","4887c37c52a9069a4f8e698d674c293f1791843dbc56bb80e05029c7f76ab9de","commit_index=16"
"34","2026-08-13T07:39:34.7679324Z","commit_begin","csv_replace","最小参考资料库/sources.csv","43c72603ecf52b78aa0e737840190320accf567b0d3d769c1c8b64ce223a84fc","registered_before_move;candidate=d5b8067af8d256682ad7fcb96911deedc99b8f3de6e278c843aeb1a37ee83a0d"
"35","2026-08-13T07:39:34.7979994Z","commit_complete","csv_replace","最小参考资料库/sources.csv","d5b8067af8d256682ad7fcb96911deedc99b8f3de6e278c843aeb1a37ee83a0d","commit_index=17"
"36","2026-08-13T07:39:34.8022610Z","commit_begin","csv_replace","最小参考资料库/source-screening.csv","b4d12751bc347739b415feb2349d56297920a0cd2deab9887cb0c7b5a9377823","registered_before_move;candidate=72648d37d6a26c5c0a9e5c8c2bf7d1680a75f5de7c62a5e24f5b89c010212e5e"
"37","2026-08-13T07:39:34.8333348Z","commit_complete","csv_replace","最小参考资料库/source-screening.csv","72648d37d6a26c5c0a9e5c8c2bf7d1680a75f5de7c62a5e24f5b89c010212e5e","commit_index=18"
"38","2026-08-13T07:39:34.8387442Z","commit_begin","csv_replace","最小参考资料库/source-selected-roles.csv","5974d3615274baf78482815586f0fed10da3639532b7e8ba681a16ac59af2c57","registered_before_move;candidate=bf61c4b44c7d3dcf94df2b2ef07cfd2aa76938b9e477cfcd908222c8b56b270a"
"39","2026-08-13T07:39:34.8693309Z","commit_complete","csv_replace","最小参考资料库/source-selected-roles.csv","bf61c4b44c7d3dcf94df2b2ef07cfd2aa76938b9e477cfcd908222c8b56b270a","commit_index=19"
"40","2026-08-13T07:39:34.8741553Z","commit_begin","payload_copy","资料卡/AMD/产品/AMD_Instinct_MI350P_PCIe_卡资料卡.md","","registered_before_copy;expected=53458fc9a9662a1c17230fddb067e4365ad4b3f2f7755d072d674ffeface3b36"
"41","2026-08-13T07:39:34.8972312Z","commit_complete","payload_copy","资料卡/AMD/产品/AMD_Instinct_MI350P_PCIe_卡资料卡.md","53458fc9a9662a1c17230fddb067e4365ad4b3f2f7755d072d674ffeface3b36","commit_index=1"
"42","2026-08-13T07:39:34.9020305Z","commit_begin","payload_copy","最小参考资料库/快照/AMD/MI350P/2026-08-13/amd-instinct-mi350p-pcie-2026-08-13.html","","registered_before_copy;expected=09b3ffd469353dfb2456fc2fca67b421aa8bf5ae48be809fa64f1a30dda3c088"
"43","2026-08-13T07:39:35.0424278Z","commit_complete","payload_copy","最小参考资料库/快照/AMD/MI350P/2026-08-13/amd-instinct-mi350p-pcie-2026-08-13.html","09b3ffd469353dfb2456fc2fca67b421aa8bf5ae48be809fa64f1a30dda3c088","commit_index=2"
"44","2026-08-13T07:39:35.0702568Z","rollback_begin","payload_delete","最小参考资料库/快照/AMD/MI350P/2026-08-13/amd-instinct-mi350p-pcie-2026-08-13.html","09b3ffd469353dfb2456fc2fca67b421aa8bf5ae48be809fa64f1a30dda3c088","reverse_index=1"
"45","2026-08-13T07:39:35.0729181Z","rollback_complete","payload_delete","最小参考资料库/快照/AMD/MI350P/2026-08-13/amd-instinct-mi350p-pcie-2026-08-13.html","","deleted_signed_transaction_payload"
"46","2026-08-13T07:39:35.0924188Z","rollback_begin","payload_delete","资料卡/AMD/产品/AMD_Instinct_MI350P_PCIe_卡资料卡.md","53458fc9a9662a1c17230fddb067e4365ad4b3f2f7755d072d674ffeface3b36","reverse_index=0"
"47","2026-08-13T07:39:35.1051505Z","rollback_complete","payload_delete","资料卡/AMD/产品/AMD_Instinct_MI350P_PCIe_卡资料卡.md","","deleted_signed_transaction_payload"
"48","2026-08-13T07:39:35.1215384Z","rollback_begin","csv_restore","最小参考资料库/source-selected-roles.csv","bf61c4b44c7d3dcf94df2b2ef07cfd2aa76938b9e477cfcd908222c8b56b270a","reverse_index=18"
"49","2026-08-13T07:39:35.1536124Z","rollback_complete","csv_restore","最小参考资料库/source-selected-roles.csv","5974d3615274baf78482815586f0fed10da3639532b7e8ba681a16ac59af2c57","restored_premerge_backup"
"50","2026-08-13T07:39:35.1588490Z","rollback_begin","csv_restore","最小参考资料库/source-screening.csv","72648d37d6a26c5c0a9e5c8c2bf7d1680a75f5de7c62a5e24f5b89c010212e5e","reverse_index=17"
"51","2026-08-13T07:39:35.1898643Z","rollback_complete","csv_restore","最小参考资料库/source-screening.csv","b4d12751bc347739b415feb2349d56297920a0cd2deab9887cb0c7b5a9377823","restored_premerge_backup"
"52","2026-08-13T07:39:35.1938546Z","rollback_begin","csv_restore","最小参考资料库/sources.csv","d5b8067af8d256682ad7fcb96911deedc99b8f3de6e278c843aeb1a37ee83a0d","reverse_index=16"
"53","2026-08-13T07:39:35.2217989Z","rollback_complete","csv_restore","最小参考资料库/sources.csv","43c72603ecf52b78aa0e737840190320accf567b0d3d769c1c8b64ce223a84fc","restored_premerge_backup"
