"target_path","premerge_sha256","candidate_postmerge_sha256","candidate_bytes","signoff_sha256","independent_review_sha256","formal_baseline_aggregate","validator_checks","backup_list_sha256","guard_list_sha256","new_file_list_sha256"
"最小参考资料库/fact-assertions.csv","be571472611c65a73ff526f77383631f0df61c70e0b3a57d2bfd6f65cbfb089e","7066ed9c845dadb801047b9e4cbd2ea50f7af1c9f6d0836a9d5a5115d40fc92b","344531","b9fa74876dfa4769df99277359f5c0be7dff268a353964abf1d392eb3708e4e3","5709dccd10be494233dd8ced7a7206e151a2fc6d73e34687a8a7c65658b47797","d10ad305a820f0fc1db7f2bf7030ca149ea7b556ceacd0a32d593f08a7cc01ff","106160","196e177d6f9206d6eb059a19442ec118bb33bb04389f75cae4d52c38a6ad0533","77c886d688411a51ad1421326e19fc133576b77ae1e7641d85b7973479639042","26d5ad2db57df1ac51b18a7a8f1d3dbb7332b8a7272a7be96004f033712e48e7"
"最小参考资料库/search-log.csv","8a15366bb59f960e318491b4f4ccb01887accbefbdf316a535fc07c7f30decca","f7c501584f0b685b26aaaa913a9fd975e4d94474a9fac38b95d74fe0513bc23d","114039","b9fa74876dfa4769df99277359f5c0be7dff268a353964abf1d392eb3708e4e3","5709dccd10be494233dd8ced7a7206e151a2fc6d73e34687a8a7c65658b47797","d10ad305a820f0fc1db7f2bf7030ca149ea7b556ceacd0a32d593f08a7cc01ff","106160","196e177d6f9206d6eb059a19442ec118bb33bb04389f75cae4d52c38a6ad0533","77c886d688411a51ad1421326e19fc133576b77ae1e7641d85b7973479639042","26d5ad2db57df1ac51b18a7a8f1d3dbb7332b8a7272a7be96004f033712e48e7"
"最小参考资料库/search-results.csv","1bcab32728aba2505307c993bd45c2974acfce3a2e10190301e4f68621cedc70","92aec74a85406ffa96c826348ffe298dba702639ecdf956160bf655db48cc40f","77301","b9fa74876dfa4769df99277359f5c0be7dff268a353964abf1d392eb3708e4e3","5709dccd10be494233dd8ced7a7206e151a2fc6d73e34687a8a7c65658b47797","d10ad305a820f0fc1db7f2bf7030ca149ea7b556ceacd0a32d593f08a7cc01ff","106160","196e177d6f9206d6eb059a19442ec118bb33bb04389f75cae4d52c38a6ad0533","77c886d688411a51ad1421326e19fc133576b77ae1e7641d85b7973479639042","26d5ad2db57df1ac51b18a7a8f1d3dbb7332b8a7272a7be96004f033712e48e7"
"最小参考资料库/selection-members.csv","b921192ac0cec96a5ebf1fd8c8d0ecc4951577804c2b1bea2976b1e4117bd620","073cba4b5671f2273f75e99a355259444c7c28c2a2da4006b19535b3f030ce0b","39854","b9fa74876dfa4769df99277359f5c0be7dff268a353964abf1d392eb3708e4e3","5709dccd10be494233dd8ced7a7206e151a2fc6d73e34687a8a7c65658b47797","d10ad305a820f0fc1db7f2bf7030ca149ea7b556ceacd0a32d593f08a7cc01ff","106160","196e177d6f9206d6eb059a19442ec118bb33bb04389f75cae4d52c38a6ad0533","77c886d688411a51ad1421326e19fc133576b77ae1e7641d85b7973479639042","26d5ad2db57df1ac51b18a7a8f1d3dbb7332b8a7272a7be96004f033712e48e7"
"最小参考资料库/selection-runs.csv","1c0b49aff25115cb358ad1d6dab32ed9de3b0814fa11342beb9b435ff48f9ba2","4397260840ab286e7d4274f963eb037eb70a2dfd951ac55d43fdd35aa85e7ee0","3281","b9fa74876dfa4769df99277359f5c0be7dff268a353964abf1d392eb3708e4e3","5709dccd10be494233dd8ced7a7206e151a2fc6d73e34687a8a7c65658b47797","d10ad305a820f0fc1db7f2bf7030ca149ea7b556ceacd0a32d593f08a7cc01ff","106160","196e177d6f9206d6eb059a19442ec118bb33bb04389f75cae4d52c38a6ad0533","77c886d688411a51ad1421326e19fc133576b77ae1e7641d85b7973479639042","26d5ad2db57df1ac51b18a7a8f1d3dbb7332b8a7272a7be96004f033712e48e7"
"最小参考资料库/source-coverage.csv","68159e338aba9f2c63e159e27a822277e067290ff3f50da0a478cb9f5e8814ea","88bf789e45a70271bab97a4f1d69034e675418bf340c82d01751d50f07e8ba21","7348","b9fa74876dfa4769df99277359f5c0be7dff268a353964abf1d392eb3708e4e3","5709dccd10be494233dd8ced7a7206e151a2fc6d73e34687a8a7c65658b47797","d10ad305a820f0fc1db7f2bf7030ca149ea7b556ceacd0a32d593f08a7cc01ff","106160","196e177d6f9206d6eb059a19442ec118bb33bb04389f75cae4d52c38a6ad0533","77c886d688411a51ad1421326e19fc133576b77ae1e7641d85b7973479639042","26d5ad2db57df1ac51b18a7a8f1d3dbb7332b8a7272a7be96004f033712e48e7"
"最小参考资料库/source-endpoints.csv","652c53647108701eddaf2e1f998417570f852acce78f2b8a2714497baff13035","644a9dc2249c717c7e16121d5164184bd5dd9804b9be4983019bb1ad48bc9f6f","51203","b9fa74876dfa4769df99277359f5c0be7dff268a353964abf1d392eb3708e4e3","5709dccd10be494233dd8ced7a7206e151a2fc6d73e34687a8a7c65658b47797","d10ad305a820f0fc1db7f2bf7030ca149ea7b556ceacd0a32d593f08a7cc01ff","106160","196e177d6f9206d6eb059a19442ec118bb33bb04389f75cae4d52c38a6ad0533","77c886d688411a51ad1421326e19fc133576b77ae1e7641d85b7973479639042","26d5ad2db57df1ac51b18a7a8f1d3dbb7332b8a7272a7be96004f033712e48e7"
"最小参考资料库/sources.csv","eba3f8a3c4a49e526a42a2bb1b5db0cfbf3930edd211fb2158db3c6a8b6b6208","43c72603ecf52b78aa0e737840190320accf567b0d3d769c1c8b64ce223a84fc","31741","b9fa74876dfa4769df99277359f5c0be7dff268a353964abf1d392eb3708e4e3","5709dccd10be494233dd8ced7a7206e151a2fc6d73e34687a8a7c65658b47797","d10ad305a820f0fc1db7f2bf7030ca149ea7b556ceacd0a32d593f08a7cc01ff","106160","196e177d6f9206d6eb059a19442ec118bb33bb04389f75cae4d52c38a6ad0533","77c886d688411a51ad1421326e19fc133576b77ae1e7641d85b7973479639042","26d5ad2db57df1ac51b18a7a8f1d3dbb7332b8a7272a7be96004f033712e48e7"
"最小参考资料库/source-screening.csv","104e8d4d06de4d26deec1066367434e494ee72e22eee3d1a49ffe0759da8c05b","b4d12751bc347739b415feb2349d56297920a0cd2deab9887cb0c7b5a9377823","30961","b9fa74876dfa4769df99277359f5c0be7dff268a353964abf1d392eb3708e4e3","5709dccd10be494233dd8ced7a7206e151a2fc6d73e34687a8a7c65658b47797","d10ad305a820f0fc1db7f2bf7030ca149ea7b556ceacd0a32d593f08a7cc01ff","106160","196e177d6f9206d6eb059a19442ec118bb33bb04389f75cae4d52c38a6ad0533","77c886d688411a51ad1421326e19fc133576b77ae1e7641d85b7973479639042","26d5ad2db57df1ac51b18a7a8f1d3dbb7332b8a7272a7be96004f033712e48e7"
"最小参考资料库/source-selected-roles.csv","aea2ecd4cd1fcf45f63817ca7d69e94434baa53ed9c184a16c4ad098bfafa5f5","5974d3615274baf78482815586f0fed10da3639532b7e8ba681a16ac59af2c57","21670","b9fa74876dfa4769df99277359f5c0be7dff268a353964abf1d392eb3708e4e3","5709dccd10be494233dd8ced7a7206e151a2fc6d73e34687a8a7c65658b47797","d10ad305a820f0fc1db7f2bf7030ca149ea7b556ceacd0a32d593f08a7cc01ff","106160","196e177d6f9206d6eb059a19442ec118bb33bb04389f75cae4d52c38a6ad0533","77c886d688411a51ad1421326e19fc133576b77ae1e7641d85b7973479639042","26d5ad2db57df1ac51b18a7a8f1d3dbb7332b8a7272a7be96004f033712e48e7"
